,work,Year,Publication_type,Cell-classes,Cell-types,How_many_classes/types_of_neurons?,What_type_of_classification_problems?,Region,Subregion,Species,What_is_the_data_source?,What_data_representation_is_being_used?,What_features_are_extracted?,What_classification_methods_are_being_used?,Types_of_ANN,What_neuroscience_tools_and_technologies_are_being_used?,Is_the_source_code_available?,What_programming_language_are_being_used?,What_evaluation_measures_are_being_used?,Other_relevant_aspects
20,"friedman,r._(2020)._measurements_of_neuronal_morphological_variation_across_the_rat_neocortex._neuroscience_letters,734,135077.",2020,journal,interneuron,nitrergic,"1_class,1_type",not_identified,neocortex,neocortex,rat,neuromorpho,point-based,morphometrics_features,k-means,does_not_use_ann,not_used,no,not_described,not_described,nan
21,"zhu,t.,yao,g.,hu,d.,xie,c.,li,p.,yang,x.,..._&_li,a._(2023)._data-driven_morphological_feature_perception_of_single_neuron_with_graph_neural_network._ieee_transactions_on_medical_imaging.",2023,journal,"medium_spiny,stellate,pyramidal","aspiny,amacrine,basket,bipolar","3_classes,4_types",multi-class,not_described,not_described,mouse,"neuromorpho,third_party",image-based,morphometrics_features,_neural_networks,"graph_neural_network,autoencoder_",morphognn,no,not_described,accuracy,nan
22,"he,f.,wei,y.,feng,f.,&_qian,y._(2023)._efficient_and_lightweight_neuron_morphology_classification_using_gabor_convolutional_networks._procedia_computer_science,222,233-243.",2023,journal,"interneuron,pyramidal,ganglion,granule,medium_spiny,parachromaffin,purkinje","basket,gabaergic,nitrergic","7_classes,3_types_of_interneuron",multi-class,not_described,not_described,rat,neuromorpho,image-based,morphometrics_features,_neural_networks,"gabor_convolution_network,resnet,recurrent_neural_network,convolutional_neural_network,vgg",not_used,no,not_described,"accuracy,confusion_matrix",nan
23,"he,f.,wei,y.,&_qian,y._(2022)._morphological_classification_of_neurons_based_deep_residual_multiscale_convolutional_neural_network._in_2022_ieee_34th_international_conference_on_tools_with_artificial_intelligence_(ictai)_(pp._481-485)._ieee.",2022,conference,"pyramidal,interneuron,sensory,ganglion,purkinje,granule,medium_spiny,parachromaffin","basket,gabaergic,nitrergic","8_classes,3_types_of_interneuron",multi-class,not_described,not_described,not_described,neuromorpho,point-based,morphometrics_features,_neural_networks,"resnet,vgg,deep_residual_neural_network","l-measure,cvapp,neuromantic",no,not_described,"accuracy,confusion_matrix,precision,specificity,sensitivity",nan
24,"wei,y.,he,f.,qian,y.,&_feng,f._(2023)._neuronal_morphology_classification_based_on_improved_residual_network._in_2023_ieee_6th_information_technology,networking,electronic_and_automation_control_conference_(itnec)_(vol._6,pp._1371-1375)._ieee.",2023,conference,"pyramidal,interneuron,sensory,ganglion,purkinje,granule,medium_spiny,parachromaffin","basket,gabaergic,nitrergic","8_classes,3_types_of_interneuron",multi-class,not_described,not_described,rat,neuromorpho,image-based,morphometrics_features,"neural_networks,svm","resnet,vgg,deep_residual_neural_network,recurrent_neural_network",trees_toolbox,no,not_described,"accuracy,confusion_matrix",nan
25,"zheng,j.,&_lin,x._(2019,august)._quantitative_analysis_of_influence_of_morphological_feature_selection_on_neuron_classification._in_2019_11th_international_conference_on_intelligent_human-machine_systems_and_cybernetics_(ihmsc)_(vol._2,pp._211-216)._ieee.",2019,conference,"von_economo,interneuron,motoneuron,purkinje,pyramidal,sensory","aspiny,bipolar,glutamatergic,multipolar,tripolar","6_classes,5_types_",multi-class,not_described,not_described,not_described,neuromorpho,point-based,morphometrics_features,"logistic_regression,knn,decision_tree,naive_bayes,random_forest,extremely_randomized_trees,xgboost",does_not_use_ann,l-measure,no.,not_described,accuracy,nan
26,"xiong,f.,xie,p.,zhao,z.,li,y.,zhao,s.,manubens-gil,l.,..._&_peng,h._(2024)._dsm:_deep_sequential_model_for_complete_neuronal_morphology_representation_and_feature_extraction._patterns,5(1).",2024,journal,not_described,not_described,not_described,not_described,"neocortex,thalamus,midbrain,hypothalamus,hindbrain,cerebral_nuclei_","cortex,thalamus,midbrain,hypothalamus,hindbrain,cerebral_nuclei_",not_described,own_dataset,sequence-based,morphometrics_features,"neural_networks,random_forest,svm","multi_layer_perceptron,graph_neural_network,recurrent_neural_network,convolutional_neural_network,autoencoder,hierarchical_attention_networks","l-measure,sholl_analysis,tmd",yes._zenodo_,python,"auc,accuracy,confusion_matrix,cross-validation",nan
27,"jiang,j.,goebel,m.,borba,c.,smith,w.,&_manjunath,b._s._(2023)._a_robust_approach_to_3d_neuron_shape_representation_for_quantification_and_classification._bmc_bioinformatics,24(1),366.",2023,journal,"pyramidal,ganglion,granule,medium_spiny,motoneuron,interneuron",somatic,"6_classes,1_type_of_motoneuron",multi-class,not_described,not_described,"ciona_intestinalis,caenorhabditis_elegans,human,rat,mouse","neuromorpho,third_party",skeleton-based,morphometrics_features,k-means,does_not_use_ann,"l-measure,tmd,neuropath2path,",yes._github_,python,"accuracy,cross-validation",nan
28,"zhang,t.,zeng,y.,zhang,y.,zhang,x.,shi,m.,tang,l.,..._&_xu,b._(2021)._neuron_type_classification_in_rat_brain_based_on_integrative_convolutional_and_tree-based_recurrent_neural_networks._scientific_reports,11(1),7291.",2021,journal,"ganglion,granule,medium_spiny,parachromaffin,purkinje,pyramidal,interneuron","basket,gabaergic,nitrergic","8_classes,3_types_of_interneuron",multi-class,neocortex,cortex,rat,"neuromorpho,own_dataset","image-based,point-based",morphometrics_features,neural_networks,"recurrent_neural_network,resnet,long_short-term_memory",trees_toolbox,yes._github_,python,"auc,accuracy",nan
29,"ophir,o.,shefi,o.,&_lindenbaum,o._(2023,june)._neuronal_cell_type_classification_using_locally_sparse_networks._in_2023_ieee_international_conference_on_acoustics,speech,and_signal_processing_workshops_(icasspw)_(pp._1-5)._ieee.",2023,conference,interneuron,"gabaergic,glutamatergic","1_class,2_types",multi-class,neocortex,cortex,mouse,allen_cell_types,patch_clamp_registry-based,electrophysiological_features,"neural_networks,random_forest,svm,xgboost,",locally_sparse_neural_network,not_used,no,not_described,"accuracy,confusion_matrix,recall,precision,f1-score",nan
30,"sun,chunli;_zhao,feng._multi-level_feature_fusion_network_for_neuronal_morphology_classification._frontiers_in_neuroscience,v._18,p._1465642,2024.",2024,journal,"pyramidal,granule,medium_spiny,ganglion,interneuron","gabaergic,nitrergic","5_classes,2_types",multi-class,"neocortex,hippocampus",not_described,"chimpanzee,rat,mouse,human",neuromorpho,image-based,morphometrics_features,neural_networks,convolutional_neural_network,l-measure,no.,not_described,"accuracy,precision,recall,f1-score",nan
31,"ophir,ofek;_shefi,orit;_lindenbaum,ofir._classifying_neuronal_cell_types_based_on_shared_electrophysiological_information_from_humans_and_mice._neuroinformatics,p._1-14,2024.",2024,journal,interneuron,"gabaergic,glutamatergic","1_class,2_types",multi-class,neocortex,not_described,"human,mouse",allen_cell_types,patch_clamp_registry-based,electrophysiological_features,neural_networks,"multi_layer_perceptron,locally_sparse_neural_network",not_used,yes._github_,python,"accuracy,precision","the_classification_of_neurons_into_their_broad_types_in_humans_and_mice,and_the_classification_of_mouse_cells_into_their_specific_neuronal_subclasses"
32,"liao,m.,wan,g.,&_du,b._(2024,march)._joint_learning_neuronal_skeleton_and_brain_circuit_topology_with_permutation_invariant_encoders_for_neuron_classification._in_proceedings_of_the_aaai_conference_on_artificial_intelligence_(vol._38,no._1,pp._197-205).",2024,conference,not_described,not_described,not_described,not_described,not_described,not_described,"drosophila_melanogaster,human",own_dataset,image-based,morphometrics_features,neural_networks,multi_layer_perceptron,not_used,yes._github,python,accuracy,joint_learning
33,"he,f.,li,g.,&_song,h._(2024)._morphological_classification_of_neurons_based_on_sugeno_fuzzy_integration_and_multi-classifier_fusion._scientific_reports,14(1),16003.",2024,journal,"pyramidal,interneuron",not_described,2_classes,multi-class,not_described,not_described,rat,neuromorpho,image-based,morphometrics_features,neural_networks,"alexnet,vgg,resnet",tree_toolbox,no,not_described,"confusion_matrix,auc,accuracy,precision,recall,f1-score",nan
34,"kanari,l.,schmidt,s.,casalegno,f.,delattre,e.,banjac,j.,negrello,t.,..._&_markram,h._(2024)._deep_learning_for_classifying_neuronal_morphologies:_combining_topological_data_analysis_and_graph_neural_networks._biorxiv,2024-09.",2024,journal,"pyramidal,interneuron",not_described,2_classes,multi-class,not_described,not_described,not_described,own_dataset,"image-based,patch_clamp_registry-based",morphometrics_features,"neural_networks,decision_tree,xgboost","convolutional_neural_network,graph_neural_network","neurolucida,tmd",yes._github_,python,accuracy,nan
